feat0,depth,distance,MMAP
color,None,d1,0.5258762664620049
color,300,d1,0.5258762664620049
color,200,d1,0.5258762664620049
color,100,d1,0.5258762664620049
color,50,d1,0.5258762664620049
color,30,d1,0.5292295675115746
color,10,d1,0.623933767951625
color,5,d1,0.7179713804713804
color,3,d1,0.7727272727272726
color,1,d1,0.6666666666666666
daisy,None,d1,0.6807602500695249
daisy,300,d1,0.6807602500695249
daisy,200,d1,0.6807602500695249
daisy,100,d1,0.6807602500695249
daisy,50,d1,0.6807602500695249
daisy,30,d1,0.6826929620421943
daisy,10,d1,0.7473858864533467
daisy,5,d1,0.8192340067340066
daisy,3,d1,0.8358585858585857
daisy,1,d1,0.8181818181818182
edge,None,d1,0.40817305868697124
edge,300,d1,0.40817305868697124
edge,200,d1,0.40817305868697124
edge,100,d1,0.40817305868697124
edge,50,d1,0.40817305868697124
edge,30,d1,0.40404065951003637
edge,10,d1,0.47928050344717016
edge,5,d1,0.4962542087542087
edge,3,d1,0.4671717171717171
edge,1,d1,0.393939393939394
hog,None,d1,0.6735031943365276
hog,300,d1,0.6735031943365276
hog,200,d1,0.6735031943365276
hog,100,d1,0.6735031943365276
hog,50,d1,0.6735031943365276
hog,30,d1,0.6735031943365276
hog,10,d1,0.6753108465608465
hog,5,d1,0.7669753086419752
hog,3,d1,0.7777777777777777
hog,1,d1,0.6666666666666666